year,county_name,urbanicity,region,division,pop_category,population,prison_population
1970,Alameda County,urban,West,Pacific,Total,696319,NA
1971,Alameda County,urban,West,Pacific,Total,708356,NA
1972,Alameda County,urban,West,Pacific,Total,725516,NA
1973,Alameda County,urban,West,Pacific,Total,724581,NA
1974,Alameda County,urban,West,Pacific,Total,732867,NA
1975,Alameda County,urban,West,Pacific,Total,737518,NA
1976,Alameda County,urban,West,Pacific,Total,749276,NA
1977,Alameda County,urban,West,Pacific,Total,755234,NA
1978,Alameda County,urban,West,Pacific,Total,761474,NA
1979,Alameda County,urban,West,Pacific,Total,761949,NA
1980,Alameda County,urban,West,Pacific,Total,771268,NA
1981,Alameda County,urban,West,Pacific,Total,784641,NA
1982,Alameda County,urban,West,Pacific,Total,794325,NA
1983,Alameda County,urban,West,Pacific,Total,807653,1897
1984,Alameda County,urban,West,Pacific,Total,820633,2021
1985,Alameda County,urban,West,Pacific,Total,833690,2285
1986,Alameda County,urban,West,Pacific,Total,846249,2605
1987,Alameda County,urban,West,Pacific,Total,854301,3104
1988,Alameda County,urban,West,Pacific,Total,868145,3675
1989,Alameda County,urban,West,Pacific,Total,880564,3718
1990,Alameda County,urban,West,Pacific,Total,893705,3761
1991,Alameda County,urban,West,Pacific,Total,896633,3804
1992,Alameda County,urban,West,Pacific,Total,905440,3863
1993,Alameda County,urban,West,Pacific,Total,905948,3987
1994,Alameda County,urban,West,Pacific,Total,904792,4236
1995,Alameda County,urban,West,Pacific,Total,906566,4325
1996,Alameda County,urban,West,Pacific,Total,914648,4713
1997,Alameda County,urban,West,Pacific,Total,935240,4873
1998,Alameda County,urban,West,Pacific,Total,960308,5046
1999,Alameda County,urban,West,Pacific,Total,980847,5144
2000,Alameda County,urban,West,Pacific,Total,1001712,5401
2001,Alameda County,urban,West,Pacific,Total,1020661,5210
2002,Alameda County,urban,West,Pacific,Total,1017808,5165
2003,Alameda County,urban,West,Pacific,Total,1013418,4832
2004,Alameda County,urban,West,Pacific,Total,1009491,4845
2005,Alameda County,urban,West,Pacific,Total,1008446,4866
2006,Alameda County,urban,West,Pacific,Total,1013204,4878
2007,Alameda County,urban,West,Pacific,Total,1022616,4752
2008,Alameda County,urban,West,Pacific,Total,1037557,4910
2009,Alameda County,urban,West,Pacific,Total,1051949,4766
2010,Alameda County,urban,West,Pacific,Total,1059247,4600
2011,Alameda County,urban,West,Pacific,Total,1061211,4109
2012,Alameda County,urban,West,Pacific,Total,1073527,3809
2013,Alameda County,urban,West,Pacific,Total,1087374,3888
2014,Alameda County,urban,West,Pacific,Total,1102981,3824
2015,Alameda County,urban,West,Pacific,Total,1120496,3762
2016,Alameda County,urban,West,Pacific,Total,1136160,NA
1970,Alpine County,rural,West,Pacific,Total,315,NA
1971,Alpine County,rural,West,Pacific,Total,378,NA
1972,Alpine County,rural,West,Pacific,Total,469,NA
1973,Alpine County,rural,West,Pacific,Total,455,NA
1974,Alpine County,rural,West,Pacific,Total,509,NA
1975,Alpine County,rural,West,Pacific,Total,559,NA
1976,Alpine County,rural,West,Pacific,Total,592,NA
1977,Alpine County,rural,West,Pacific,Total,654,NA
1978,Alpine County,rural,West,Pacific,Total,724,NA
1979,Alpine County,rural,West,Pacific,Total,868,NA
1980,Alpine County,rural,West,Pacific,Total,825,NA
1981,Alpine County,rural,West,Pacific,Total,845,NA
1982,Alpine County,rural,West,Pacific,Total,852,NA
1983,Alpine County,rural,West,Pacific,Total,829,0
1984,Alpine County,rural,West,Pacific,Total,801,0
1985,Alpine County,rural,West,Pacific,Total,847,0
1986,Alpine County,rural,West,Pacific,Total,874,NA
1987,Alpine County,rural,West,Pacific,Total,821,NA
1988,Alpine County,rural,West,Pacific,Total,827,0
1989,Alpine County,rural,West,Pacific,Total,820,NA
1990,Alpine County,rural,West,Pacific,Total,778,NA
1991,Alpine County,rural,West,Pacific,Total,832,4
1992,Alpine County,rural,West,Pacific,Total,831,NA
1993,Alpine County,rural,West,Pacific,Total,858,NA
1994,Alpine County,rural,West,Pacific,Total,869,NA
1995,Alpine County,rural,West,Pacific,Total,891,NA
1996,Alpine County,rural,West,Pacific,Total,909,NA
1997,Alpine County,rural,West,Pacific,Total,899,NA
1998,Alpine County,rural,West,Pacific,Total,894,4
1999,Alpine County,rural,West,Pacific,Total,893,NA
2000,Alpine County,rural,West,Pacific,Total,879,0
2001,Alpine County,rural,West,Pacific,Total,864,4
2002,Alpine County,rural,West,Pacific,Total,891,NA
2003,Alpine County,rural,West,Pacific,Total,878,0
2004,Alpine County,rural,West,Pacific,Total,905,0
2005,Alpine County,rural,West,Pacific,Total,864,NA
2006,Alpine County,rural,West,Pacific,Total,906,0
2007,Alpine County,rural,West,Pacific,Total,898,NA
2008,Alpine County,rural,West,Pacific,Total,832,NA
2009,Alpine County,rural,West,Pacific,Total,829,NA
2010,Alpine County,rural,West,Pacific,Total,789,NA
2011,Alpine County,rural,West,Pacific,Total,777,NA
2012,Alpine County,rural,West,Pacific,Total,747,NA
2013,Alpine County,rural,West,Pacific,Total,719,NA
2014,Alpine County,rural,West,Pacific,Total,719,NA
2015,Alpine County,rural,West,Pacific,Total,688,NA
2016,Alpine County,rural,West,Pacific,Total,692,NA
1970,Amador County,rural,West,Pacific,Total,7633,NA
1971,Amador County,rural,West,Pacific,Total,7995,NA
1972,Amador County,rural,West,Pacific,Total,8092,NA
1973,Amador County,rural,West,Pacific,Total,8626,NA
1974,Amador County,rural,West,Pacific,Total,9364,NA
1975,Amador County,rural,West,Pacific,Total,9694,NA
1976,Amador County,rural,West,Pacific,Total,9770,NA
1977,Amador County,rural,West,Pacific,Total,10450,NA
1978,Amador County,rural,West,Pacific,Total,11200,NA
1979,Amador County,rural,West,Pacific,Total,12135,NA
1980,Amador County,rural,West,Pacific,Total,12776,NA
1981,Amador County,rural,West,Pacific,Total,13295,NA
1982,Amador County,rural,West,Pacific,Total,13585,NA
1983,Amador County,rural,West,Pacific,Total,13927,38
1984,Amador County,rural,West,Pacific,Total,14435,47
1985,Amador County,rural,West,Pacific,Total,15032,53
1986,Amador County,rural,West,Pacific,Total,15525,56
1987,Amador County,rural,West,Pacific,Total,16280,71
1988,Amador County,rural,West,Pacific,Total,17978,81
1989,Amador County,rural,West,Pacific,Total,19226,90
1990,Amador County,rural,West,Pacific,Total,20031,99
1991,Amador County,rural,West,Pacific,Total,20956,108
1992,Amador County,rural,West,Pacific,Total,21182,95
1993,Amador County,rural,West,Pacific,Total,21410,114
1994,Amador County,rural,West,Pacific,Total,21558,115
1995,Amador County,rural,West,Pacific,Total,21723,109
1996,Amador County,rural,West,Pacific,Total,21917,100
1997,Amador County,rural,West,Pacific,Total,22285,120
1998,Amador County,rural,West,Pacific,Total,22332,108
1999,Amador County,rural,West,Pacific,Total,23081,122
2000,Amador County,rural,West,Pacific,Total,23276,129
2001,Amador County,rural,West,Pacific,Total,23780,129
2002,Amador County,rural,West,Pacific,Total,24465,147
2003,Amador County,rural,West,Pacific,Total,24772,169
2004,Amador County,rural,West,Pacific,Total,25208,175
2005,Amador County,rural,West,Pacific,Total,25754,198
2006,Amador County,rural,West,Pacific,Total,26016,197
2007,Amador County,rural,West,Pacific,Total,26203,205
2008,Amador County,rural,West,Pacific,Total,25694,205
2009,Amador County,rural,West,Pacific,Total,25531,212
2010,Amador County,rural,West,Pacific,Total,25259,202
2011,Amador County,rural,West,Pacific,Total,25033,159
2012,Amador County,rural,West,Pacific,Total,24673,149
2013,Amador County,rural,West,Pacific,Total,23914,146
2014,Amador County,rural,West,Pacific,Total,23193,138
2015,Amador County,rural,West,Pacific,Total,22959,111
2016,Amador County,rural,West,Pacific,Total,22861,NA
1970,Butte County,small/mid,West,Pacific,Total,63464,NA
1971,Butte County,small/mid,West,Pacific,Total,66036,NA
1972,Butte County,small/mid,West,Pacific,Total,71373,NA
1973,Butte County,small/mid,West,Pacific,Total,72186,NA
1974,Butte County,small/mid,West,Pacific,Total,75436,NA
1975,Butte County,small/mid,West,Pacific,Total,78839,NA
1976,Butte County,small/mid,West,Pacific,Total,81924,NA
1977,Butte County,small/mid,West,Pacific,Total,84842,NA
1978,Butte County,small/mid,West,Pacific,Total,86331,NA
1979,Butte County,small/mid,West,Pacific,Total,91176,NA
1980,Butte County,small/mid,West,Pacific,Total,95449,NA
1981,Butte County,small/mid,West,Pacific,Total,97477,NA
1982,Butte County,small/mid,West,Pacific,Total,99201,NA
1983,Butte County,small/mid,West,Pacific,Total,100080,228
1984,Butte County,small/mid,West,Pacific,Total,101216,251
1985,Butte County,small/mid,West,Pacific,Total,103288,294
1986,Butte County,small/mid,West,Pacific,Total,104391,328
1987,Butte County,small/mid,West,Pacific,Total,106022,383
1988,Butte County,small/mid,West,Pacific,Total,108514,403
1989,Butte County,small/mid,West,Pacific,Total,110834,452
1990,Butte County,small/mid,West,Pacific,Total,114117,501
1991,Butte County,small/mid,West,Pacific,Total,116259,550
1992,Butte County,small/mid,West,Pacific,Total,118061,659
1993,Butte County,small/mid,West,Pacific,Total,119412,753
1994,Butte County,small/mid,West,Pacific,Total,120387,839
1995,Butte County,small/mid,West,Pacific,Total,121475,869
1996,Butte County,small/mid,West,Pacific,Total,121829,988
1997,Butte County,small/mid,West,Pacific,Total,124290,1056
1998,Butte County,small/mid,West,Pacific,Total,127040,1112
1999,Butte County,small/mid,West,Pacific,Total,129161,1105
2000,Butte County,small/mid,West,Pacific,Total,131928,1100
2001,Butte County,small/mid,West,Pacific,Total,134856,1136
2002,Butte County,small/mid,West,Pacific,Total,138152,1154
2003,Butte County,small/mid,West,Pacific,Total,140616,1203
2004,Butte County,small/mid,West,Pacific,Total,142734,1361
2005,Butte County,small/mid,West,Pacific,Total,144683,1282
2006,Butte County,small/mid,West,Pacific,Total,146570,1334
2007,Butte County,small/mid,West,Pacific,Total,147050,1259
2008,Butte County,small/mid,West,Pacific,Total,148046,1237
2009,Butte County,small/mid,West,Pacific,Total,148295,1190
2010,Butte County,small/mid,West,Pacific,Total,148426,1211
2011,Butte County,small/mid,West,Pacific,Total,148377,1076
2012,Butte County,small/mid,West,Pacific,Total,148208,964
2013,Butte County,small/mid,West,Pacific,Total,147953,978
2014,Butte County,small/mid,West,Pacific,Total,147841,1023
2015,Butte County,small/mid,West,Pacific,Total,148189,905
2016,Butte County,small/mid,West,Pacific,Total,148117,NA
1970,Calaveras County,rural,West,Pacific,Total,8404,NA
1971,Calaveras County,rural,West,Pacific,Total,8621,NA
1972,Calaveras County,rural,West,Pacific,Total,8889,NA
1973,Calaveras County,rural,West,Pacific,Total,9351,NA
1974,Calaveras County,rural,West,Pacific,Total,9653,NA
1975,Calaveras County,rural,West,Pacific,Total,9667,NA
1976,Calaveras County,rural,West,Pacific,Total,10026,NA
1977,Calaveras County,rural,West,Pacific,Total,10708,NA
1978,Calaveras County,rural,West,Pacific,Total,11807,NA
1979,Calaveras County,rural,West,Pacific,Total,12823,NA
1980,Calaveras County,rural,West,Pacific,Total,13530,NA
1981,Calaveras County,rural,West,Pacific,Total,13963,NA
1982,Calaveras County,rural,West,Pacific,Total,14564,NA
1983,Calaveras County,rural,West,Pacific,Total,14942,22
1984,Calaveras County,rural,West,Pacific,Total,15288,26
1985,Calaveras County,rural,West,Pacific,Total,15653,25
1986,Calaveras County,rural,West,Pacific,Total,16198,24
1987,Calaveras County,rural,West,Pacific,Total,16933,30
1988,Calaveras County,rural,West,Pacific,Total,17511,50
1989,Calaveras County,rural,West,Pacific,Total,18552,48
1990,Calaveras County,rural,West,Pacific,Total,19919,46
1991,Calaveras County,rural,West,Pacific,Total,20796,44
1992,Calaveras County,rural,West,Pacific,Total,21662,48
1993,Calaveras County,rural,West,Pacific,Total,22033,46
1994,Calaveras County,rural,West,Pacific,Total,22741,55
1995,Calaveras County,rural,West,Pacific,Total,23134,44
1996,Calaveras County,rural,West,Pacific,Total,23558,73
1997,Calaveras County,rural,West,Pacific,Total,24157,83
1998,Calaveras County,rural,West,Pacific,Total,24739,74
1999,Calaveras County,rural,West,Pacific,Total,25242,69
2000,Calaveras County,rural,West,Pacific,Total,25823,65
2001,Calaveras County,rural,West,Pacific,Total,26466,68
2002,Calaveras County,rural,West,Pacific,Total,27285,88
2003,Calaveras County,rural,West,Pacific,Total,28188,98
2004,Calaveras County,rural,West,Pacific,Total,28881,120
2005,Calaveras County,rural,West,Pacific,Total,29534,132
2006,Calaveras County,rural,West,Pacific,Total,30018,148
2007,Calaveras County,rural,West,Pacific,Total,30045,145
2008,Calaveras County,rural,West,Pacific,Total,29857,137
2009,Calaveras County,rural,West,Pacific,Total,29312,115
2010,Calaveras County,rural,West,Pacific,Total,29012,114
2011,Calaveras County,rural,West,Pacific,Total,28918,112
2012,Calaveras County,rural,West,Pacific,Total,28520,98
2013,Calaveras County,rural,West,Pacific,Total,27868,113
2014,Calaveras County,rural,West,Pacific,Total,27512,98
2015,Calaveras County,rural,West,Pacific,Total,27214,96
2016,Calaveras County,rural,West,Pacific,Total,27104,NA
1970,Colusa County,rural,West,Pacific,Total,7503,NA
1971,Colusa County,rural,West,Pacific,Total,7512,NA
1972,Colusa County,rural,West,Pacific,Total,7468,NA
1973,Colusa County,rural,West,Pacific,Total,7606,NA
1974,Colusa County,rural,West,Pacific,Total,7803,NA
1975,Colusa County,rural,West,Pacific,Total,7999,NA
1976,Colusa County,rural,West,Pacific,Total,8169,NA
1977,Colusa County,rural,West,Pacific,Total,8124,NA
1978,Colusa County,rural,West,Pacific,Total,8085,NA
1979,Colusa County,rural,West,Pacific,Total,8253,NA
1980,Colusa County,rural,West,Pacific,Total,8178,NA
1981,Colusa County,rural,West,Pacific,Total,8362,NA
1982,Colusa County,rural,West,Pacific,Total,8755,NA
1983,Colusa County,rural,West,Pacific,Total,8864,13
1984,Colusa County,rural,West,Pacific,Total,8868,13
1985,Colusa County,rural,West,Pacific,Total,9198,24
1986,Colusa County,rural,West,Pacific,Total,9320,39
1987,Colusa County,rural,West,Pacific,Total,9296,27
1988,Colusa County,rural,West,Pacific,Total,9575,33
1989,Colusa County,rural,West,Pacific,Total,9841,NA
1990,Colusa County,rural,West,Pacific,Total,9953,NA
1991,Colusa County,rural,West,Pacific,Total,10038,65
1992,Colusa County,rural,West,Pacific,Total,10188,50
1993,Colusa County,rural,West,Pacific,Total,10245,59
1994,Colusa County,rural,West,Pacific,Total,10389,69
1995,Colusa County,rural,West,Pacific,Total,10639,69
1996,Colusa County,rural,West,Pacific,Total,10887,75
1997,Colusa County,rural,West,Pacific,Total,11202,95
1998,Colusa County,rural,West,Pacific,Total,11423,115
1999,Colusa County,rural,West,Pacific,Total,11655,107
2000,Colusa County,rural,West,Pacific,Total,11853,95
2001,Colusa County,rural,West,Pacific,Total,12004,78
2002,Colusa County,rural,West,Pacific,Total,12210,75
2003,Colusa County,rural,West,Pacific,Total,12456,85
2004,Colusa County,rural,West,Pacific,Total,12765,80
2005,Colusa County,rural,West,Pacific,Total,13063,101
2006,Colusa County,rural,West,Pacific,Total,13324,91
2007,Colusa County,rural,West,Pacific,Total,13476,84
2008,Colusa County,rural,West,Pacific,Total,13469,81
2009,Colusa County,rural,West,Pacific,Total,13528,87
2010,Colusa County,rural,West,Pacific,Total,13658,96
2011,Colusa County,rural,West,Pacific,Total,13702,74
2012,Colusa County,rural,West,Pacific,Total,13636,59
2013,Colusa County,rural,West,Pacific,Total,13608,67
2014,Colusa County,rural,West,Pacific,Total,13588,71
2015,Colusa County,rural,West,Pacific,Total,13476,63
2016,Colusa County,rural,West,Pacific,Total,13529,NA
1970,Contra Costa County,suburban,West,Pacific,Total,353296,NA
1971,Contra Costa County,suburban,West,Pacific,Total,359951,NA
1972,Contra Costa County,suburban,West,Pacific,Total,366607,NA
1973,Contra Costa County,suburban,West,Pacific,Total,374929,NA
1974,Contra Costa County,suburban,West,Pacific,Total,383963,NA
1975,Contra Costa County,suburban,West,Pacific,Total,392458,NA
1976,Contra Costa County,suburban,West,Pacific,Total,404350,NA
1977,Contra Costa County,suburban,West,Pacific,Total,416689,NA
1978,Contra Costa County,suburban,West,Pacific,Total,426768,NA
1979,Contra Costa County,suburban,West,Pacific,Total,440698,NA
1980,Contra Costa County,suburban,West,Pacific,Total,453105,NA
1981,Contra Costa County,suburban,West,Pacific,Total,459241,NA
1982,Contra Costa County,suburban,West,Pacific,Total,466514,NA
1983,Contra Costa County,suburban,West,Pacific,Total,473176,727
1984,Contra Costa County,suburban,West,Pacific,Total,478763,763
1985,Contra Costa County,suburban,West,Pacific,Total,487211,865
1986,Contra Costa County,suburban,West,Pacific,Total,496309,1084
1987,Contra Costa County,suburban,West,Pacific,Total,504908,1266
1988,Contra Costa County,suburban,West,Pacific,Total,516860,1393
1989,Contra Costa County,suburban,West,Pacific,Total,532533,1377
1990,Contra Costa County,suburban,West,Pacific,Total,544300,1361
1991,Contra Costa County,suburban,West,Pacific,Total,548434,1345
1992,Contra Costa County,suburban,West,Pacific,Total,558011,1402
1993,Contra Costa County,suburban,West,Pacific,Total,562258,1651
1994,Contra Costa County,suburban,West,Pacific,Total,565437,1808
1995,Contra Costa County,suburban,West,Pacific,Total,569606,1957
1996,Contra Costa County,suburban,West,Pacific,Total,575619,2164
1997,Contra Costa County,suburban,West,Pacific,Total,591223,2310
1998,Contra Costa County,suburban,West,Pacific,Total,607304,2252
1999,Contra Costa County,suburban,West,Pacific,Total,620545,2265
2000,Contra Costa County,suburban,West,Pacific,Total,633387,2205
2001,Contra Costa County,suburban,West,Pacific,Total,647878,2062
2002,Contra Costa County,suburban,West,Pacific,Total,655357,2154
2003,Contra Costa County,suburban,West,Pacific,Total,661705,2066
2004,Contra Costa County,suburban,West,Pacific,Total,666442,2060
2005,Contra Costa County,suburban,West,Pacific,Total,672230,1970
2006,Contra Costa County,suburban,West,Pacific,Total,674874,1994
2007,Contra Costa County,suburban,West,Pacific,Total,680611,1922
2008,Contra Costa County,suburban,West,Pacific,Total,688778,1931
2009,Contra Costa County,suburban,West,Pacific,Total,698235,1954
2010,Contra Costa County,suburban,West,Pacific,Total,704883,1916
2011,Contra Costa County,suburban,West,Pacific,Total,707408,1859
2012,Contra Costa County,suburban,West,Pacific,Total,716014,1785
2013,Contra Costa County,suburban,West,Pacific,Total,721429,1809
2014,Contra Costa County,suburban,West,Pacific,Total,729743,1857
2015,Contra Costa County,suburban,West,Pacific,Total,738053,1873
2016,Contra Costa County,suburban,West,Pacific,Total,746072,NA
1970,Del Norte County,rural,West,Pacific,Total,8865,NA
1971,Del Norte County,rural,West,Pacific,Total,9136,NA
1972,Del Norte County,rural,West,Pacific,Total,9235,NA
1973,Del Norte County,rural,West,Pacific,Total,9584,NA
1974,Del Norte County,rural,West,Pacific,Total,9785,NA
1975,Del Norte County,rural,West,Pacific,Total,10205,NA
1976,Del Norte County,rural,West,Pacific,Total,10402,NA
1977,Del Norte County,rural,West,Pacific,Total,10830,NA
1978,Del Norte County,rural,West,Pacific,Total,11473,NA
1979,Del Norte County,rural,West,Pacific,Total,11606,NA
1980,Del Norte County,rural,West,Pacific,Total,11858,NA
1981,Del Norte County,rural,West,Pacific,Total,12164,NA
1982,Del Norte County,rural,West,Pacific,Total,12004,NA
1983,Del Norte County,rural,West,Pacific,Total,12066,37
1984,Del Norte County,rural,West,Pacific,Total,11933,40
1985,Del Norte County,rural,West,Pacific,Total,12064,39
1986,Del Norte County,rural,West,Pacific,Total,12294,43
1987,Del Norte County,rural,West,Pacific,Total,12543,48
1988,Del Norte County,rural,West,Pacific,Total,13006,66
1989,Del Norte County,rural,West,Pacific,Total,13584,74
1990,Del Norte County,rural,West,Pacific,Total,15205,82
1991,Del Norte County,rural,West,Pacific,Total,17624,90
1992,Del Norte County,rural,West,Pacific,Total,17821,88
1993,Del Norte County,rural,West,Pacific,Total,18305,111
1994,Del Norte County,rural,West,Pacific,Total,18439,135
1995,Del Norte County,rural,West,Pacific,Total,18154,146
1996,Del Norte County,rural,West,Pacific,Total,18279,165
1997,Del Norte County,rural,West,Pacific,Total,18732,175
1998,Del Norte County,rural,West,Pacific,Total,18838,175
1999,Del Norte County,rural,West,Pacific,Total,18528,177
2000,Del Norte County,rural,West,Pacific,Total,18525,175
2001,Del Norte County,rural,West,Pacific,Total,18580,162
2002,Del Norte County,rural,West,Pacific,Total,18687,156
2003,Del Norte County,rural,West,Pacific,Total,18939,170
2004,Del Norte County,rural,West,Pacific,Total,19246,165
2005,Del Norte County,rural,West,Pacific,Total,19602,171
2006,Del Norte County,rural,West,Pacific,Total,19553,150
2007,Del Norte County,rural,West,Pacific,Total,19809,143
2008,Del Norte County,rural,West,Pacific,Total,19783,143
2009,Del Norte County,rural,West,Pacific,Total,19834,144
2010,Del Norte County,rural,West,Pacific,Total,19749,127
2011,Del Norte County,rural,West,Pacific,Total,19675,115
2012,Del Norte County,rural,West,Pacific,Total,19543,132
2013,Del Norte County,rural,West,Pacific,Total,19222,116
2014,Del Norte County,rural,West,Pacific,Total,18796,112
2015,Del Norte County,rural,West,Pacific,Total,18085,102
2016,Del Norte County,rural,West,Pacific,Total,18019,NA
1970,El Dorado County,suburban,West,Pacific,Total,28199,NA
1971,El Dorado County,suburban,West,Pacific,Total,29626,NA
1972,El Dorado County,suburban,West,Pacific,Total,31620,NA
1973,El Dorado County,suburban,West,Pacific,Total,34916,NA
1974,El Dorado County,suburban,West,Pacific,Total,37217,NA
1975,El Dorado County,suburban,West,Pacific,Total,39428,NA
1976,El Dorado County,suburban,West,Pacific,Total,42506,NA
1977,El Dorado County,suburban,West,Pacific,Total,45761,NA
1978,El Dorado County,suburban,West,Pacific,Total,50561,NA
1979,El Dorado County,suburban,West,Pacific,Total,55689,NA
1980,El Dorado County,suburban,West,Pacific,Total,59847,NA
1981,El Dorado County,suburban,West,Pacific,Total,61485,NA
1982,El Dorado County,suburban,West,Pacific,Total,63204,NA
1983,El Dorado County,suburban,West,Pacific,Total,63467,83
1984,El Dorado County,suburban,West,Pacific,Total,64481,104
1985,El Dorado County,suburban,West,Pacific,Total,66719,103
1986,El Dorado County,suburban,West,Pacific,Total,68675,124
1987,El Dorado County,suburban,West,Pacific,Total,71171,141
1988,El Dorado County,suburban,West,Pacific,Total,74633,147
1989,El Dorado County,suburban,West,Pacific,Total,78247,166
1990,El Dorado County,suburban,West,Pacific,Total,83320,185
1991,El Dorado County,suburban,West,Pacific,Total,85650,204
1992,El Dorado County,suburban,West,Pacific,Total,87719,223
1993,El Dorado County,suburban,West,Pacific,Total,89715,236
1994,El Dorado County,suburban,West,Pacific,Total,91033,230
1995,El Dorado County,suburban,West,Pacific,Total,92620,295
1996,El Dorado County,suburban,West,Pacific,Total,94078,351
1997,El Dorado County,suburban,West,Pacific,Total,96673,385
1998,El Dorado County,suburban,West,Pacific,Total,99430,431
1999,El Dorado County,suburban,West,Pacific,Total,101716,448
2000,El Dorado County,suburban,West,Pacific,Total,104190,461
2001,El Dorado County,suburban,West,Pacific,Total,107017,462
2002,El Dorado County,suburban,West,Pacific,Total,110317,458
2003,El Dorado County,suburban,West,Pacific,Total,112817,431
2004,El Dorado County,suburban,West,Pacific,Total,115236,443
2005,El Dorado County,suburban,West,Pacific,Total,118304,427
2006,El Dorado County,suburban,West,Pacific,Total,119919,469
2007,El Dorado County,suburban,West,Pacific,Total,120525,491
2008,El Dorado County,suburban,West,Pacific,Total,120844,487
2009,El Dorado County,suburban,West,Pacific,Total,121404,457
2010,El Dorado County,suburban,West,Pacific,Total,121389,467
2011,El Dorado County,suburban,West,Pacific,Total,121436,407
2012,El Dorado County,suburban,West,Pacific,Total,121020,401
2013,El Dorado County,suburban,West,Pacific,Total,119560,420
2014,El Dorado County,suburban,West,Pacific,Total,119240,406
2015,El Dorado County,suburban,West,Pacific,Total,119339,399
2016,El Dorado County,suburban,West,Pacific,Total,119327,NA
1970,Fresno County,small/mid,West,Pacific,Total,255009,NA
1971,Fresno County,small/mid,West,Pacific,Total,262783,NA
1972,Fresno County,small/mid,West,Pacific,Total,269874,NA
1973,Fresno County,small/mid,West,Pacific,Total,277594,NA
1974,Fresno County,small/mid,West,Pacific,Total,286460,NA
1975,Fresno County,small/mid,West,Pacific,Total,298184,NA
1976,Fresno County,small/mid,West,Pacific,Total,309175,NA
1977,Fresno County,small/mid,West,Pacific,Total,318718,NA
1978,Fresno County,small/mid,West,Pacific,Total,325686,NA
1979,Fresno County,small/mid,West,Pacific,Total,332381,NA
1980,Fresno County,small/mid,West,Pacific,Total,340117,NA
1981,Fresno County,small/mid,West,Pacific,Total,346469,NA
1982,Fresno County,small/mid,West,Pacific,Total,352935,NA
1983,Fresno County,small/mid,West,Pacific,Total,360195,1137
1984,Fresno County,small/mid,West,Pacific,Total,369297,1323
1985,Fresno County,small/mid,West,Pacific,Total,375801,1621
1986,Fresno County,small/mid,West,Pacific,Total,380528,1915
1987,Fresno County,small/mid,West,Pacific,Total,387908,2430
1988,Fresno County,small/mid,West,Pacific,Total,397605,2583
1989,Fresno County,small/mid,West,Pacific,Total,409681,2705
1990,Fresno County,small/mid,West,Pacific,Total,418331,2827
1991,Fresno County,small/mid,West,Pacific,Total,427560,2949
1992,Fresno County,small/mid,West,Pacific,Total,439033,3136
1993,Fresno County,small/mid,West,Pacific,Total,447358,3641
1994,Fresno County,small/mid,West,Pacific,Total,453969,3856
1995,Fresno County,small/mid,West,Pacific,Total,459457,4270
1996,Fresno County,small/mid,West,Pacific,Total,467914,4560
1997,Fresno County,small/mid,West,Pacific,Total,478029,4884
1998,Fresno County,small/mid,West,Pacific,Total,486709,4829
1999,Fresno County,small/mid,West,Pacific,Total,497093,4697
2000,Fresno County,small/mid,West,Pacific,Total,507430,4722
2001,Fresno County,small/mid,West,Pacific,Total,517410,4833
2002,Fresno County,small/mid,West,Pacific,Total,530926,5058
2003,Fresno County,small/mid,West,Pacific,Total,544359,5375
2004,Fresno County,small/mid,West,Pacific,Total,555796,5297
2005,Fresno County,small/mid,West,Pacific,Total,565797,5187
2006,Fresno County,small/mid,West,Pacific,Total,575629,5405
2007,Fresno County,small/mid,West,Pacific,Total,584640,5528
2008,Fresno County,small/mid,West,Pacific,Total,593849,5470
2009,Fresno County,small/mid,West,Pacific,Total,601829,5300
2010,Fresno County,small/mid,West,Pacific,Total,607629,4852
2011,Fresno County,small/mid,West,Pacific,Total,608781,4345
2012,Fresno County,small/mid,West,Pacific,Total,613452,3945
2013,Fresno County,small/mid,West,Pacific,Total,615590,4214
2014,Fresno County,small/mid,West,Pacific,Total,618622,4616
2015,Fresno County,small/mid,West,Pacific,Total,622763,4203
2016,Fresno County,small/mid,West,Pacific,Total,627036,NA
1970,Glenn County,rural,West,Pacific,Total,10523,NA
1971,Glenn County,rural,West,Pacific,Total,10459,NA
1972,Glenn County,rural,West,Pacific,Total,10580,NA
1973,Glenn County,rural,West,Pacific,Total,11133,NA
1974,Glenn County,rural,West,Pacific,Total,11386,NA
1975,Glenn County,rural,West,Pacific,Total,11902,NA
1976,Glenn County,rural,West,Pacific,Total,12292,NA
1977,Glenn County,rural,West,Pacific,Total,12629,NA
1978,Glenn County,rural,West,Pacific,Total,12513,NA
1979,Glenn County,rural,West,Pacific,Total,13148,NA
1980,Glenn County,rural,West,Pacific,Total,13464,NA
1981,Glenn County,rural,West,Pacific,Total,13772,NA
1982,Glenn County,rural,West,Pacific,Total,13898,NA
1983,Glenn County,rural,West,Pacific,Total,14163,38
1984,Glenn County,rural,West,Pacific,Total,14093,37
1985,Glenn County,rural,West,Pacific,Total,14261,36
1986,Glenn County,rural,West,Pacific,Total,14244,45
1987,Glenn County,rural,West,Pacific,Total,14225,60
1988,Glenn County,rural,West,Pacific,Total,14477,62
1989,Glenn County,rural,West,Pacific,Total,14747,NA
1990,Glenn County,rural,West,Pacific,Total,14872,NA
1991,Glenn County,rural,West,Pacific,Total,14909,93
