number,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore,release_year
4865,SoulSaverOnline,2017-04-05,NA,"50,000 .. 100,000",Smartbig Corportion,Netgame,0,0,NA,2017
4867,KORABLIK,2017-02-14,0.99,"50,000 .. 100,000",Nuked Games,!Lim studio,0,0,NA,2017
4868,A Trip to Yugoslavia: Director's Cut,2017-02-22,0.99,"50,000 .. 100,000","Piotr Bunkowski, Hades Productions",Sometimes You,31,10,NA,2017
4873,Covert Syndrome,2017-04-21,NA,"50,000 .. 100,000",Offworld Industries,Offworld Industries,0,0,NA,2017
4930,Three Days,2017-05-19,4.99,"50,000 .. 100,000","Lewis Bergin, GorePixelGames",Lewis Bergin,0,0,NA,2017
4943,The Astral Hero,2017-05-05,0.99,"50,000 .. 100,000",Ardi Studio,Ardi Studio,246,83,NA,2017
4945,Bang Bang Fruit,2017-02-14,0.49,"50,000 .. 100,000",Snkl Studio,Snkl Studio,0,0,NA,2017
4952,Project First Contact,2017-07-26,2.99,"50,000 .. 100,000","Cristian Manolachi, Atomic Fabrik","Cristian Manolachi, Atomic Fabrik",0,0,NA,2017
4953,All Alone: VR,2017-03-08,0.51,"50,000 .. 100,000",8bit,Bitlock Studio,0,0,NA,2017
5026,OVRdrop,2017-03-31,14.99,"50,000 .. 100,000",Nicholas Ewalt,Nicholas Ewalt,0,0,NA,2017
5044,The Last Weekend,2017-03-03,NA,"50,000 .. 100,000",KEXBOY,KEXBOY,0,0,NA,2017
5052,Nevrosa: Prelude,2017-02-23,NA,"50,000 .. 100,000",GexagonVR,GexagonVR,0,0,NA,2017
5054,Chicken Farm 2K17,2017-12-05,NA,"50,000 .. 100,000",Jakal Studios,Jakal Studios,0,0,NA,2017
5076,Sudden Strike Gold,2017-05-22,5.99,"50,000 .. 100,000",Fireglow,Kalypso Media Digital,0,0,NA,2017
5082,Multiplayer FPS Demo,2017-07-06,NA,"50,000 .. 100,000",Vitor Pêgas,Oryzhon Studios,0,0,NA,2017
5136,Aerial Destruction,2017-05-18,3.99,"50,000 .. 100,000",Devdan Games,Devdan Games,0,0,NA,2017
5138,iREC,2017-01-16,NA,"50,000 .. 100,000",Labory,Mamilos Club Studios,0,0,NA,2017
5146,Vive le Roi,2017-02-23,4.99,"50,000 .. 100,000",Sylvain Seccia,Petite Fleur Productions,0,0,NA,2017
5175,bob's game,2017-02-21,NA,"50,000 .. 100,000",Robert Pelloni,Bob Corporation,0,0,NA,2017
5199,NightZ,2017-02-14,0.99,"50,000 .. 100,000",Artem Bondin,Artem Bondin,0,0,NA,2017
5208,Splat the Blob,2017-10-05,NA,"50,000 .. 100,000",Simple Blue,Simple Blue,0,0,NA,2017
5224,Trianguluv,2017-03-15,1.99,"50,000 .. 100,000",Atara Games,Atara Games,0,0,NA,2017
5256,Riot of the numbers,2017-01-19,0.99,"50,000 .. 100,000",Mihai Morosanu,Mihai Morosanu,0,0,NA,2017
5295,Snake Party,2017-02-17,0.99,"50,000 .. 100,000",Displacement Studios,Displacement Studios,0,0,NA,2017
5363,WORLD OF FINAL FANTASY,2017-11-21,24.99,"50,000 .. 100,000",Square Enix,Square Enix,0,0,NA,2017
5365,64.0,2017-03-16,2.99,"50,000 .. 100,000",rebel rabbit,"indienova, GrabTheGames",0,0,NA,2017
5390,Driver Booster 5 for Steam,2017-11-07,NA,"50,000 .. 100,000",IObit,IObit,0,0,NA,2017
5394,Island Dash,2017-08-30,NA,"50,000 .. 100,000","Flo Knödl, Johannes Fischer, Michael Hütter, Christoph Müller, Simon Eberl, Thomas Kern, Lukas Schönwiese",Flo Knödl,0,0,NA,2017
5398,IL-2 Sturmovik: Cliffs of Dover Blitz Edition,2017-12-14,24.99,"50,000 .. 100,000","Team Fusion Simulations, 1C: Maddox Games",1C Entertainment,0,0,NA,2017
5450,Survival Is Not Enough,2017-07-14,4.99,"50,000 .. 100,000",Fixer Games,Fixer Games,0,0,NA,2017
5455,Primal Reign,2017-05-29,NA,"50,000 .. 100,000",Immersive VR Limited,Immersive VR Limited,0,0,NA,2017
5531,idleBeer,2017-08-20,0.99,"50,000 .. 100,000",Victor Corradi,Corradi Games,0,0,NA,2017
5680,Silent Footsteps,2017-08-22,11.99,"50,000 .. 100,000",Frostlind Games,Frostlind Games,0,0,NA,2017
5733,Press X to Not Die,2017-10-06,2.99,"50,000 .. 100,000",All Seeing Eye Games,All Seeing Eye Games,0,0,NA,2017
5744,Deep Space Waifu: FLAT JUSTICE,2017-12-07,1.99,"50,000 .. 100,000",Neko Climax Studios,Neko Climax Studios,2,0,95,2017
5748,River City Ransom: Underground,2017-02-27,19.99,"50,000 .. 100,000",Conatus Creative Inc.,Conatus Creative Inc.,0,0,NA,2017
5751,Serious Sam VR: The Last Hope,2017-09-20,39.99,"50,000 .. 100,000",Croteam VR,"Devolver Digital, Croteam",0,0,NA,2017
5756,I Can't Believe It's Not Gambling,2017-12-11,0.99,"50,000 .. 100,000",Mutant Entertainment Studios,Mutant Entertainment Studios,0,0,NA,2017
5760,The House of Da Vinci,2017-11-24,19.99,"50,000 .. 100,000",Blue Brain Games,Blue Brain Games,0,0,NA,2017
5775,Bad Dream: Coma,2017-03-09,8.99,"50,000 .. 100,000",Desert Fox,Ultimate Games S.A.,0,0,NA,2017
5781,Rise & Shine,2017-01-13,14.99,"50,000 .. 100,000",Super Mega Team,Adult Swim Games,0,0,NA,2017
5794,Spooky's Jump Scare Mansion: HD Renovation,2017-03-01,9.99,"50,000 .. 100,000",Albino Moose Games,Albino Moose Games,0,0,NA,2017
5802,Alien Shooter TD,2017-01-13,9.99,"50,000 .. 100,000",Sigma Team Inc.,Sigma Team Inc.,0,0,NA,2017
5821,CrossCells,2017-05-26,2.99,"50,000 .. 100,000",Matthew Brown,Matthew Brown,0,0,NA,2017
5825,Dies irae ~Amantes amentes~,2017-06-02,NA,"50,000 .. 100,000",light,"views Co., Ltd",0,0,NA,2017
5883,Mall Empire,2017-02-16,3.99,"50,000 .. 100,000",Games++,Games++,0,0,NA,2017
5887,Cannons-Defenders: Steam Edition,2017-04-07,0.99,"50,000 .. 100,000",REX PEX GAMES,REX PEX GAMES,0,0,NA,2017
5938,Chika Militant Cockroach,2017-03-22,3.99,"50,000 .. 100,000",NA,NA,0,0,NA,2017
5950,Immersion Chess,2017-05-15,NA,"50,000 .. 100,000",Immersion,Immersion,0,0,NA,2017
5964,Danko and treasure map,2017-01-06,1.99,"50,000 .. 100,000",MetamorphoGames,Atriagames,0,0,NA,2017
5980,Spaceship Looter,2017-05-17,NA,"50,000 .. 100,000",Luxorix Games,Luxorix Games,0,0,NA,2017
6036,Other Worlds India,2017-01-20,0.49,"50,000 .. 100,000",SharF Co.,SharF Co.,0,0,NA,2017
6089,Dark Project,2017-02-02,3.99,"50,000 .. 100,000",651 GAMES,651 GAMES,0,0,NA,2017
6106,Ripple Effect,2017-05-31,NA,"50,000 .. 100,000","Well Played Studio, Inc","Well Played Studio, Inc",0,0,NA,2017
6171,Empires of the Undergrowth,2017-12-01,19.99,"50,000 .. 100,000",Slug Disco Studios,Slug Disco Studios,0,0,NA,2017
6209,DED,2017-03-03,NA,"50,000 .. 100,000","L. Stotch, Vladimir Soldatov","L. Stotch, Vladimir Soldatov",0,0,NA,2017
6217,Gangs of Space,2017-08-10,NA,"50,000 .. 100,000",Little Big MMO,Little Big MMO,0,0,NA,2017
6222,Interplanetary: Enhanced Edition,2017-08-02,14.99,"50,000 .. 100,000",Team Jolly Roger,Team17 Digital Ltd,0,0,NA,2017
6230,ClickRaid,2017-10-20,4.99,"50,000 .. 100,000",Slikey Games,Slikey Games,0,0,NA,2017
6245,Galaxy Admirals,2017-01-17,1.99,"50,000 .. 100,000",Jetdogs Studios,Jetdogs Studios,0,0,NA,2017
6247,Ellipsis,2017-01-25,9.99,"50,000 .. 100,000",Salmi Games,Salmi Games,0,0,NA,2017
6251,Evil Tag,2017-04-07,0.99,"50,000 .. 100,000",HFM Games,HFM Games,0,0,NA,2017
6274,Deus Ex: Mankind Divided - VR Experience,2017-01-24,NA,"50,000 .. 100,000",Eidos Montreal,Square Enix,0,0,NA,2017
6279,The Last Conflict,2017-09-20,NA,"50,000 .. 100,000",Darker Emerald,EmmyGames,0,0,NA,2017
6286,Sticker Craft,2017-01-19,0.99,"50,000 .. 100,000",One More Game,One More Game,0,0,NA,2017
6289,MermaidVR Video Player,2017-08-15,NA,"50,000 .. 100,000",Mermaid VR Inc.,Mermaid VR Inc.,0,0,NA,2017
6297,Storm Riders,2017-04-25,NA,"50,000 .. 100,000","Mokylin Tech. Co.,Ltd",101XP,0,0,NA,2017
6303,Beans: The Coffee Shop Simulator,2017-06-30,4.99,"50,000 .. 100,000",Whitethorn Digital,Whitethorn Digital,0,0,NA,2017
6325,Solarium,2017-07-27,NA,"50,000 .. 100,000",Sunfleck Software,Sunfleck Software,0,0,NA,2017
6347,Tourists Kidnapped a Little Bear,2017-01-20,0.99,"50,000 .. 100,000",Wojciech Krupinski,KrupinskiArt,0,0,NA,2017
