number,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore,release_year
1,Half-Life 2,2004-11-16,9.99,"10,000,000 .. 20,000,000",Valve,Valve,110,66,96,2004
3,Counter-Strike: Source,2004-11-01,9.99,"10,000,000 .. 20,000,000",Valve,Valve,236,128,88,2004
21,Counter-Strike: Condition Zero,2004-03-01,9.99,"10,000,000 .. 20,000,000",Valve,Valve,10,3,65,2004
47,Half-Life 2: Deathmatch,2004-11-01,4.99,"5,000,000 .. 10,000,000",Valve,Valve,0,0,NA,2004
36,Half-Life: Source,2004-06-01,9.99,"2,000,000 .. 5,000,000",Valve,Valve,0,0,NA,2004
52,CS2D,2004-12-24,NA,"1,000,000 .. 2,000,000",Unreal Software,Unreal Software,16,10,NA,2004
2,Unreal Tournament 2004: Editor's Choice Edition,2004-03-16,14.99,"500,000 .. 1,000,000","Epic Games, Inc.","Epic Games, Inc.",0,0,93,2004
4,DOOM 3,2004-08-03,4.99,"500,000 .. 1,000,000",id Software,id Software,0,0,87,2004
14,Beyond Divinity,2004-04-27,5.99,"500,000 .. 1,000,000",Larian Studios,Larian Studios,0,0,73,2004
40,Hitman: Contracts,2004-04-20,8.99,"500,000 .. 1,000,000",Io-Interactive A/S,Io-Interactive A/S,0,0,NA,2004
9,Gish,2004-05-04,9.99,"200,000 .. 500,000",Cryptic Sea,Chronic Logic,0,0,80,2004
17,Neighbours from Hell Compilation,2004-02-20,9.99,"200,000 .. 500,000",JoWooD Vienna,THQ Nordic,0,0,69,2004
43,"STAR WARS Battlefront (Classic, 2004)",2004-09-21,9.99,"200,000 .. 500,000",Pandemic Studios,"Lucasfilm, LucasArts, Disney",0,0,NA,2004
49,Jagged Alliance 2 - Wildfire,2004-03-08,6.99,"200,000 .. 500,000",I-deal Games,Topware Interactive,371,270,NA,2004
53,Painkiller: Black Edition,2004-04-12,9.99,"200,000 .. 500,000",People Can Fly,THQ Nordic,0,0,NA,2004
5,Silent Storm Gold Edition,2004-09-09,9.99,"100,000 .. 200,000",Nival,THQ Nordic,0,0,83,2004
12,Soldiers: Heroes of World War II,2004-06-29,4.99,"100,000 .. 200,000",Best Way,1C Entertainment,0,0,77,2004
18,Sherlock Holmes: The Silver Earring,2004-09-30,9.99,"100,000 .. 200,000",Frogwares,Frogwares,0,0,68,2004
26,World War II: Panzer Claws,2004-01-14,4.99,"100,000 .. 200,000",NA,Topware Interactive,250,181,61,2004
31,Marine Sharpshooter II: Jungle Warfare,2004-06-22,2.99,"100,000 .. 200,000",Jarhead Games,Funbox Media Ltd,0,0,52,2004
34,SuperPower 2 Steam Edition,2004-10-11,9.99,"100,000 .. 200,000",GolemLabs,THQ Nordic,0,0,NA,2004
20,Dark Fall 2: Lights Out,2004-08-24,4.99,"50,000 .. 100,000",Darkling Room,THQ Nordic,0,0,66,2004
24,Aura: Fate of the Ages,2004-06-24,4.99,"50,000 .. 100,000",Streko Graphics,THQ Nordic,0,0,63,2004
39,Guilty Gear X2 #Reload,2004-07-23,9.99,"50,000 .. 100,000",Arc System Works,Arc System Works,0,0,NA,2004
42,Platypus,2004-06-02,6.99,"50,000 .. 100,000",Idigicon,KISS ltd,0,0,NA,2004
50,planetarian ~the reverie of a little planet~,2004-11-29,9.99,"50,000 .. 100,000",VisualArts/Key,Sekai Project,0,0,NA,2004
7,"Codename: Panzers, Phase One",2004-06-16,14.99,"20,000 .. 50,000","Stormregion, THQ Nordic",THQ Nordic,0,0,81,2004
8,Kohan II: Kings of War,2004-09-21,9.99,"20,000 .. 50,000",TimeGate Studios,TimeGate Studios,0,0,81,2004
10,Ground Control II: Operation Exodus,2004-06-18,4.99,"20,000 .. 50,000",Massive Entertainment,Rebellion,0,0,80,2004
11,Perimeter,2004-05-21,3.99,"20,000 .. 50,000",K-D Lab,1C Entertainment,0,0,77,2004
15,Warlords Battlecry III,2004-05-17,9.99,"20,000 .. 50,000",Infinite Interactive,"Retroism, Enlight Software Limited",0,0,73,2004
16,Men of Valor,2004-11-29,9.99,"20,000 .. 50,000",2015,THQ Nordic,0,0,71,2004
25,Shadow Ops: Red Mercury,2004-09-17,6.99,"20,000 .. 50,000",Zombie Studios,Retroism,0,0,61,2004
27,Wars and Warriors: Joan of Arc,2004-02-07,6.99,"20,000 .. 50,000",Enlight Software Limited,"Retroism, Enlight Software Limited",0,0,60,2004
32,Konung 2,2004-11-30,2.99,"20,000 .. 50,000",1C Entertainment,1C Entertainment,0,0,35,2004
35,The Egyptian Prophecy: The Fate of Ramses,2004-03-29,4.99,"20,000 .. 50,000",MC2,Microids,0,0,NA,2004
37,Chris Sawyer's Locomotion,2004-09-10,5.99,"20,000 .. 50,000",Chris Sawyer,Atari,0,0,NA,2004
44,Transport Giant,2004-06-08,9.99,"20,000 .. 50,000","Fancy Bytes, Reactor",Toplitz Productions,0,0,NA,2004
45,URU: Complete Chronicles,2004-07-07,9.99,"20,000 .. 50,000",Cyan Worlds,Cyan Worlds,0,0,NA,2004
48,Mashed,2004-06-25,4.99,"20,000 .. 50,000",Supersonic Software,Strategy First,0,0,NA,2004
51,Kult: Heretic Kingdoms,2004-11-11,4.99,"20,000 .. 50,000",Games Farm,Games Farm,0,0,NA,2004
6,Myst IV: Revelation,2004-09-10,14.99,"0 .. 20,000",Ubisoft Montreal,"Cyan Worlds, Ubisoft",0,0,82,2004
13,Nemesis of the Roman Empire,2004-03-17,9.99,"0 .. 20,000",Haemimont Games,"Retroism, Enlight Software Limited",0,0,74,2004
19,Nancy Drew: The Secret of Shadow Ranch,2004-06-01,9.99,"0 .. 20,000",HeR Interactive,HeR Interactive,0,0,68,2004
22,Lords of the Realm III,2004-03-17,4.99,"0 .. 20,000",Impressions Games,Rebellion,0,0,65,2004
23,Echelon: Wind Warriors,2004-02-03,3.99,"0 .. 20,000",MADia Entertainment,Buka Entertainment,0,0,63,2004
28,Zoo Empire,2004-08-01,6.99,"0 .. 20,000",Enlight Software Limited,"Retroism, Enlight Software Limited",0,0,59,2004
29,Marine Park Empire,2004-08-01,6.99,"0 .. 20,000",Enlight Software Limited,"Retroism, Enlight Software Limited",0,0,58,2004
30,Fair Strike,2004-02-05,3.99,"0 .. 20,000",G5 Software,Buka Entertainment,0,0,56,2004
33,KóterGame,2004-01-11,NA,"0 .. 20,000",Dzsembori,Dzsembori,0,0,NA,2004
38,I Misteri di Maggia,2004-09-27,NA,"0 .. 20,000",Stelex Software,Stelex Software,0,0,NA,2004
41,Casino Poker,2004-04-02,2.99,"0 .. 20,000",ThatGame Pty Ltd,Funbox Media Ltd,0,0,NA,2004
46,The Dark Legions,2004-04-01,1.99,"0 .. 20,000",Mascot Entertainment,Mascot Entertainment,0,0,NA,2004
31,Half-Life 2: Lost Coast,2005-10-27,NA,"10,000,000 .. 20,000,000",Valve,Valve,0,0,NA,2005
2,Grand Theft Auto: San Andreas,2005-06-06,14.99,"2,000,000 .. 5,000,000",Rockstar Games,Rockstar Games,373,236,93,2005
7,STAR WARS Knights of the Old Republic II - The Sith Lords,2005-02-08,9.99,"2,000,000 .. 5,000,000","Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)","LucasArts, Disney Interactive, Lucasfilm, Aspyr (Mac, Linux)",37,12,85,2005
1,Sid Meier's Civilization IV,2005-10-25,19.99,"1,000,000 .. 2,000,000",Firaxis Games,2K,0,0,94,2005
17,Serious Sam 2,2005-10-11,9.99,"1,000,000 .. 2,000,000",Croteam,Devolver Digital,0,0,74,2005
4,Sid Meier's Pirates!,2005-07-11,9.99,"500,000 .. 1,000,000",Firaxis Games,2K,0,0,88,2005
9,Darwinia,2005-07-14,9.99,"500,000 .. 1,000,000",Introversion Software,Introversion Software,0,0,84,2005
12,Dungeon Siege II,2005-08-16,6.99,"500,000 .. 1,000,000",Gas Powered Games,Square Enix,0,0,80,2005
43,scram,2005-09-13,NA,"500,000 .. 1,000,000",spleen,Colossus Interactive,0,0,NA,2005
53,Street Racing Syndicate,2005-01-08,2.99,"500,000 .. 1,000,000",Eutechnyx,Funbox Media Ltd,0,0,NA,2005
3,Tom Clancy's Splinter Cell Chaos Theory,2005-03-29,9.99,"200,000 .. 500,000",Ubisoft Montreal,Ubisoft,0,0,92,2005
6,Prince of Persia: The Two Thrones,2005-12-07,9.99,"200,000 .. 500,000",Ubisoft Montreal,Ubisoft,0,0,85,2005
10,FATE,2005-05-18,7.99,"200,000 .. 500,000",WildTangent,WildTangent,0,0,80,2005
19,The Bard's Tale,2005-06-17,9.99,"200,000 .. 500,000",inXile Entertainment,inXile Entertainment,0,0,70,2005
24,Space Hack,2005-11-15,4.99,"200,000 .. 500,000",NA,Meridian4,0,0,63,2005
5,Brothers in Arms: Road to Hill 30,2005-03-15,9.99,"100,000 .. 200,000",Gearbox Software,Ubisoft,0,0,87,2005
8,Brothers in Arms: Earned in Blood,2005-10-04,9.99,"100,000 .. 200,000",Gearbox Software,Ubisoft,0,0,84,2005
16,Blitzkrieg 2 Anthology,2005-09-23,4.99,"100,000 .. 200,000",Nival,Nival,0,0,75,2005
18,Cossacks II: Napoleonic Wars,2005-04-26,4.99,"100,000 .. 200,000",GSC Game World,GSC World Publishing,0,0,73,2005
21,Imperial Glory,2005-05-15,4.99,"100,000 .. 200,000",Pyro Studios,Kalypso Media Digital,0,0,69,2005
32,Telltale Texas Hold ‘Em,2005-02-11,2.99,"100,000 .. 200,000",Telltale Games,Telltale Games,0,0,NA,2005
36,RPG Maker XP,2005-09-16,24.99,"100,000 .. 200,000",KADOKAWA,Degica,0,0,NA,2005
38,CT Special Forces: Fire for Effect,2005-03-24,2.99,"100,000 .. 200,000","Asobo Studio, Hip Games",Funbox Media Ltd,0,0,NA,2005
13,Myst V: End of Ages,2005-07-19,9.99,"50,000 .. 100,000",Cyan Worlds,Cyan Worlds,0,0,80,2005
14,Crazy Machines,2005-10-01,9.99,"50,000 .. 100,000",Fakt Software,Viva Media,0,0,78,2005
25,Obscure,2005-04-06,6.99,"50,000 .. 100,000",Hydravision Entertainment,Mighty Rocket Studio,0,0,63,2005
27,Bet On Soldier,2005-09-26,7.99,"50,000 .. 100,000",Kylotonn,Microids,0,0,NA,2005
34,Hard Truck Apocalypse / Ex Machina,2005-12-08,7.99,"50,000 .. 100,000",Targem Games,Buka Entertainment,0,0,NA,2005
46,Geneforge 3,2005-04-01,19.99,"50,000 .. 100,000",Spiderweb Software,Spiderweb Software,0,0,NA,2005
48,Voyage: Journey to the Moon,2005-08-16,4.99,"50,000 .. 100,000",Microids,Microids,0,0,NA,2005
52,World War I,2005-06-17,4.99,"50,000 .. 100,000",Dark Fox,1C Entertainment,0,0,NA,2005
54,rFactor,2005-08-31,24.99,"50,000 .. 100,000",Image Space Incorporated,Image Space Incorporated,0,0,NA,2005
57,Sudeki,2005-03-25,5.99,"50,000 .. 100,000",Climax Studios,Climax Group,0,0,NA,2005
58,UFO: Aftershock,2005-10-21,3.99,"50,000 .. 100,000",ALTAR Interactive,1C Entertainment,0,0,NA,2005
11,"Codename: Panzers, Phase Two",2005-07-21,14.99,"20,000 .. 50,000","Stormregion, THQ Nordic",THQ Nordic,0,0,80,2005
20,The Moment of Silence,2005-03-01,14.99,"20,000 .. 50,000",House of Tales,HandyGames,0,0,70,2005
22,Rag Doll Kung Fu,2005-10-12,9.99,"20,000 .. 50,000",Mark Healey,Mark Healey,0,0,69,2005
23,Cold War,2005-09-27,4.99,"20,000 .. 50,000",Mindware Studios,THQ Nordic,0,0,64,2005
29,Stalingrad,2005-04-05,4.99,"20,000 .. 50,000",DTF games,1C Entertainment,0,0,NA,2005
33,Cuban Missile Crisis: Ice Crusade,2005-07-29,4.99,"20,000 .. 50,000",G5 Software,1C Entertainment,0,0,NA,2005
49,Midnight Outlaw: 6 Hours to SunUp,2005-07-02,9.99,"20,000 .. 50,000","Merscom, Babylon","ValuSoft, Retroism",0,0,NA,2005
50,Cuban Missile Crisis,2005-05-06,4.99,"20,000 .. 50,000",G5 Software,1C Entertainment,0,0,NA,2005
51,Desert Law,2005-04-29,2.99,"20,000 .. 50,000",Arise,1C Entertainment,0,0,NA,2005
55,Dungeon Lords Steam Edition,2005-05-01,14.99,"20,000 .. 50,000",Heuristic Park,THQ Nordic,0,0,NA,2005
56,Luxor 2,2005-12-08,9.99,"20,000 .. 50,000",MumboJumbo,MumboJumbo,0,0,NA,2005
15,Crazy Machines 1.5,2005-10-01,9.99,"0 .. 20,000",Fakt Software,Viva Media,0,0,78,2005
26,18 Wheels of Steel: Convoy,2005-09-01,9.99,"0 .. 20,000",SCS Software,"Valusoft, Play Hard Games",0,0,NA,2005
28,Fish Tycoon,2005-11-14,9.99,"0 .. 20,000",Last Day of Work,Last Day of Work,0,0,NA,2005
30,Luxor Amun Rising,2005-12-08,9.99,"0 .. 20,000",MumboJumbo,MumboJumbo,0,0,NA,2005
35,Wildlife Tycoon: Venture Africa,2005-10-01,1.99,"0 .. 20,000",Pocketwatch Games,Pocketwatch Games,0,0,NA,2005
37,Deadhunt,2005-03-28,4.99,"0 .. 20,000",REL Games,REL Games,0,0,NA,2005
39,Mystery Case Files: Huntsville,2005-01-01,9.99,"0 .. 20,000",Big Fish Games,Big Fish Games,0,0,NA,2005
40,Operation: Matriarchy,2005-11-20,5.99,"0 .. 20,000",Madia Entertainment,Buka Entertainment,0,0,NA,2005
41,Disney's Chicken Little,2005-10-20,9.99,"0 .. 20,000",Avalanche Software,Disney Interactive,0,0,NA,2005
42,Cotropitorii,2005-11-15,2.99,"0 .. 20,000","Alexandru Duta, Victor E. Blaga",2 Bad Design,0,0,NA,2005
44,Massive Assault: Phantom Renaissance,2005-03-03,9.99,"0 .. 20,000",Wargaming.net,Wargaming.net,0,0,NA,2005
45,Vulture for NetHack,2005-02-01,2.99,"0 .. 20,000",DarkArts Studios,DarkArts Studios,0,0,NA,2005
47,Ankh - Anniversary Edition,2005-11-04,7.99,"0 .. 20,000",Deck13,Deck13,0,0,NA,2005
98,Half-Life Deathmatch: Source,2006-05-01,9.99,"10,000,000 .. 20,000,000",Valve,Valve,0,0,NA,2006
105,Garry's Mod,2006-11-29,9.99,"10,000,000 .. 20,000,000",Facepunch Studios,Valve,626,254,NA,2006
5,Half-Life 2: Episode One,2006-06-01,7.99,"5,000,000 .. 10,000,000",Valve,Valve,12,4,87,2006
3,Psychonauts,2006-10-11,9.99,"2,000,000 .. 5,000,000",Double Fine Productions,Double Fine Productions,0,0,87,2006
59,Toribash,2006-03-01,NA,"2,000,000 .. 5,000,000",Nabi Studios,"Nicalis, Inc.",0,0,NA,2006
71,Total War: MEDIEVAL II – Definitive Edition,2006-11-15,24.99,"2,000,000 .. 5,000,000","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",72,53,NA,2006
10,Civilization IV: Warlords,2006-07-24,4.99,"1,000,000 .. 2,000,000",Firaxis Games,2K,0,0,84,2006
23,The Ship: Murder Party,2006-07-11,9.99,"1,000,000 .. 2,000,000",Outerlight Ltd.,Blazing Griffin Ltd.,0,0,76,2006
32,Dark Messiah of Might & Magic,2006-10-25,9.99,"1,000,000 .. 2,000,000",Arkane Studios,Ubisoft,0,0,72,2006
81,Microsoft Flight Simulator X: Steam Edition,2006-10-16,24.99,"1,000,000 .. 2,000,000",Microsoft Game Studios,Dovetail Games - Flight,553,184,NA,2006
91,Easy eSports,2006-09-19,NA,"1,000,000 .. 2,000,000",EasyAntiCheat Ltd,EasyAntiCheat Ltd,342,227,NA,2006
1,Company of Heroes,2006-09-11,19.99,"500,000 .. 1,000,000",Relic Entertainment,SEGA,0,0,93,2006
11,DEFCON,2006-09-29,9.99,"500,000 .. 1,000,000",Introversion Software,Introversion Software,0,0,84,2006
15,Red Orchestra: Ostfront 41-45,2006-03-14,2.49,"500,000 .. 1,000,000",Tripwire Interactive,Tripwire Interactive,0,0,81,2006
20,Sid Meier's Railroads!,2006-10-16,9.99,"500,000 .. 1,000,000","Firaxis Games, Feral Interactive (Mac)","2K, Feral Interactive (Mac)",0,0,77,2006
22,FlatOut 2,2006-12-21,9.99,"500,000 .. 1,000,000",Bugbear Entertainment,Strategy First,0,0,76,2006
26,Uplink,2006-08-23,9.99,"500,000 .. 1,000,000",Introversion Software,Introversion Software,0,0,75,2006
27,Shadowgrounds,2006-05-08,1.04,"500,000 .. 1,000,000",Frozenbyte,Frozenbyte,0,0,74,2006
2,Call of Duty,2006-10-13,19.99,"200,000 .. 500,000",Infinity Ward,Activision,0,0,91,2006
4,Call of Duty: United Offensive,2006-10-13,19.99,"200,000 .. 500,000",Gray Matter Studios,Activision,0,0,87,2006
6,Call of Duty 2,2006-10-13,19.99,"200,000 .. 500,000",Infinity Ward,Activision,0,0,86,2006
7,Tom Clancy's Rainbow Six Vegas,2006-12-12,9.99,"200,000 .. 500,000",Ubisoft Montreal,Ubisoft,0,0,85,2006
17,Tom Clancy's Splinter Cell Double Agent,2006-10-19,9.99,"200,000 .. 500,000",Ubisoft Montreal,Ubisoft,0,0,80,2006
25,SiN Episodes: Emergence,2006-05-10,9.99,"200,000 .. 500,000",Ritual Entertainment,Ritual Entertainment,0,0,75,2006
29,Earth 2160,2006-04-01,4.99,"200,000 .. 500,000",Reality Pump Studios,"Topware Interactive, ACE",430,287,73,2006
33,X2: The Threat,2006-07-21,4.99,"200,000 .. 500,000",Egosoft,Egosoft,0,0,72,2006
34,X3: Reunion,2006-07-21,9.99,"200,000 .. 500,000",Egosoft,Egosoft,0,0,71,2006
65,High On Racing,2006-06-04,4.99,"200,000 .. 500,000",SilentFuture,SilentFuture,0,0,NA,2006
112,RACE - The WTCC Game,2006-11-24,39.99,"200,000 .. 500,000",SimBin,SimBin,0,0,NA,2006
9,Disciples II: Gallean's Return,2006-07-06,6.99,"100,000 .. 200,000",Strategy First,Strategy First,0,0,84,2006
14,Ghost Master,2006-12-21,4.99,"100,000 .. 200,000",Sick Puppies,Strategy First,0,0,81,2006
24,GUN,2006-10-13,19.99,"100,000 .. 200,000",Neversoft,Activision,0,0,76,2006
28,Caesar IV,2006-09-09,9.99,"100,000 .. 200,000","Tilted Mill Entertainment, Inc.",Activision,0,0,74,2006
48,Tom Clancy's Rainbow Six Lockdown,2006-02-14,9.99,"100,000 .. 200,000",Red Storm Entertainment,Ubisoft,0,0,59,2006
63,Feeding Frenzy 2 Deluxe,2006-08-30,4.99,"100,000 .. 200,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA,2006
67,Wildlife Park 2,2006-05-12,6.99,"100,000 .. 200,000",b-alive gmbh,b-alive gmbh,0,0,NA,2006
75,Zuma Deluxe,2006-08-30,4.99,"100,000 .. 200,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA,2006
76,Scratches - Director's Cut,2006-03-08,NA,"100,000 .. 200,000",Nucleosys,Nucleosys,0,0,NA,2006
77,King's Quest Collection,2006-09-01,19.99,"100,000 .. 200,000",Sierra,Activision,0,0,NA,2006
106,Insaniquarium Deluxe,2006-08-30,4.99,"100,000 .. 200,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA,2006
108,Nux,2006-12-26,6.99,"100,000 .. 200,000",Idigicon,KISS ltd,0,0,NA,2006
13,Dangerous Waters,2006-02-07,14.99,"50,000 .. 100,000",Sonalysts,Strategy First,0,0,82,2006
18,Disciples II: Rise of the Elves,2006-07-06,6.99,"50,000 .. 100,000",Strategy First,Strategy First,0,0,80,2006
19,Space Empires IV Deluxe,2006-02-07,9.99,"50,000 .. 100,000",Malfador Machinations,Strategy First,0,0,79,2006
37,Advent Rising,2006-09-14,9.99,"50,000 .. 100,000",GlyphX Games,Majesco Entertainment,0,0,70,2006
38,Rogue Trooper,2006-05-23,9.99,"50,000 .. 100,000",Rebellion,Rebellion,0,0,69,2006
39,Gumboy - Crazy Adventures,2006-12-19,4.99,"50,000 .. 100,000","CINEMAX, s.r.o.","CINEMAX, s.r.o.",0,0,69,2006
40,Marc Eckō's Getting Up: Contents Under Pressure,2006-02-14,14.99,"50,000 .. 100,000","The Collective, General Arcade",Devolver Digital,0,0,69,2006
41,Space Empires V,2006-10-16,14.99,"50,000 .. 100,000",Malfador Machinations,Strategy First,0,0,68,2006
43,BloodRayne 2,2006-09-14,9.99,"50,000 .. 100,000",Terminal Reality,Majesco Entertainment,0,0,67,2006
45,Heroes of Annihilated Empires,2006-11-22,14.99,"50,000 .. 100,000",GSC Game World,GSC Game World,0,0,65,2006
46,BloodRayne,2006-09-14,9.99,"50,000 .. 100,000",Terminal Reality,Majesco Entertainment,0,0,65,2006
55,The Ship: Single Player,2006-11-20,NA,"50,000 .. 100,000",Outerlight Ltd.,Blazing Griffin Ltd.,0,0,NA,2006
60,Guilty Gear Isuka,2006-06-20,9.99,"50,000 .. 100,000",Arc System Works,Arc System Works,0,0,NA,2006
68,Fleet Command,2006-10-26,9.99,"50,000 .. 100,000",Sonalysts,Strategy First,0,0,NA,2006
69,688(I) Hunter/Killer,2006-10-26,9.99,"50,000 .. 100,000",Sonalysts,Strategy First,0,0,NA,2006
73,The Stalin Subway: Red Veil,2006-10-05,2.99,"50,000 .. 100,000",Orion Games,Buka Entertainment,0,0,NA,2006
82,Bejeweled 2 Deluxe,2006-08-30,4.99,"50,000 .. 100,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA,2006
83,Broken Sword 4 - the Angel of Death,2006-09-15,5.99,"50,000 .. 100,000",Sumo Digital Ltd,Revolution Software Ltd,0,0,NA,2006
89,Geneforge 4: Rebellion,2006-11-01,19.99,"50,000 .. 100,000",Spiderweb Software,Spiderweb Software,0,0,NA,2006
92,Chuzzle Deluxe,2006-08-30,4.99,"50,000 .. 100,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA,2006
8,Sub Command,2006-10-26,9.99,"20,000 .. 50,000",Sonalysts,Strategy First,0,0,84,2006
12,Xpand Rally,2006-08-24,4.99,"20,000 .. 50,000",Techland,Techland,0,0,82,2006
16,RoboBlitz,2006-11-07,9.99,"20,000 .. 50,000",Naked Sky Entertainment,Naked Sky Entertainment,0,0,80,2006
30,Disney•Pixar Cars,2006-07-06,19.99,"20,000 .. 50,000",Beenox,"THQ, Disney Interactive",0,0,73,2006
31,Perimeter: Emperor's Testament,2006-08-29,3.99,"20,000 .. 50,000",K-D Lab,1C Entertainment,0,0,72,2006
36,MX vs. ATV Unleashed,2006-01-16,9.99,"20,000 .. 50,000",Rainbow Studios,THQ Nordic,0,0,71,2006
42,Faces of War,2006-09-08,4.99,"20,000 .. 50,000",Best Way,1C Entertainment,0,0,67,2006
44,Shattered Union,2006-10-25,4.99,"20,000 .. 50,000",PopTop,2K,0,0,67,2006
49,Iron Warriors: T - 72 Tank Command,2006-07-26,4.99,"20,000 .. 50,000",Strategy First,Strategy First,0,0,56,2006
50,El Matador,2006-09-25,3.99,"20,000 .. 50,000",Plastic Reality Technologies,1C Entertainment,0,0,54,2006
56,Pizza Frenzy Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA,2006
61,Heavy Weapon Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA,2006
62,Talismania Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA,2006
64,NAVYFIELD,2006-08-18,NA,"20,000 .. 50,000",SDEnterNET,Naiadgames,0,0,NA,2006
72,Hammer Heads Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA,2006
84,Iggle Pop Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA,2006
85,Vegas: Make It Big,2006-12-21,4.99,"20,000 .. 50,000",Deepred,Strategy First,0,0,NA,2006
86,Rocket Mania Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA,2006
93,War on Folvos,2006-09-25,3.99,"20,000 .. 50,000",Lonely Troops,Lonely Troops,0,0,NA,2006
95,Bejeweled Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA,2006
96,Big Money! Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA,2006
99,AstroPop Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA,2006
100,3D ParticleGen Visual FX,2006-10-27,9.99,"20,000 .. 50,000",Reality Pump,TopWare Interactive,302,100,NA,2006
103,Dynomite Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA,2006
107,Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113,2006-12-18,5.99,"20,000 .. 50,000",Targem Games,Buka Entertainment,0,0,NA,2006
109,Typer Shark! Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA,2006
111,The Stalin Subway,2006-10-05,3.99,"20,000 .. 50,000",Orion Games,Buka Entertainment,0,0,NA,2006
21,Al Emmo and the Lost Dutchman's Mine,2006-09-05,9.99,"0 .. 20,000",Himalaya Studios,Himalaya Studios,0,0,77,2006
35,EMERGENCY 4 Deluxe,2006-04-13,17.99,"0 .. 20,000",Sixteen Tons Entertainment,Sixteen Tons Entertainment,0,0,71,2006
47,Wings Over Europe,2006-05-24,9.99,"0 .. 20,000",Third Wire Productions,Strategy First,0,0,62,2006
51,Battle Of Europe,2006-03-23,9.99,"0 .. 20,000",Maus Software,Strategy First,0,0,54,2006
52,Elite Warriors: Vietnam,2006-03-25,9.99,"0 .. 20,000",N-Fusion Interactive,Retroism,0,0,46,2006
53,Brigade E5: New Jagged Union,2006-10-17,3.99,"0 .. 20,000",Apeiron,1C Entertainment,0,0,41,2006
54,Poker Superstars II,2006-10-05,9.99,"0 .. 20,000",Funkitron,Funkitron,0,0,NA,2006
57,BorderZone,2006-07-19,2.99,"0 .. 20,000","Saturn-plus, Orion",1C Entertainment,0,0,NA,2006
58,Disney•Pixar Cars: Radiator Springs Adventures,2006-06-06,19.99,"0 .. 20,000",AWE Games,Disney Interactive,0,0,NA,2006
66,Tanita: A Plasticine Dream,2006-08-29,4.99,"0 .. 20,000",Trickster Games,Akella,0,0,NA,2006
70,18 Wheels of Steel: Haulin’,2006-12-08,9.99,"0 .. 20,000",SCS Software,"Play Hard Games, ValuSoft",0,0,NA,2006
74,Jagged Alliance 2 Gold,2006-07-06,19.99,"0 .. 20,000",Strategy First,Strategy First,0,0,NA,2006
78,Take Command - 2nd Manassas,2006-04-18,9.99,"0 .. 20,000","MadMinute Games, NorbSoftDev","NorbSoftDev, Paradox Interactive",0,0,NA,2006
79,Mystery Case Files: Ravenhearst,2006-12-15,9.99,"0 .. 20,000",Big Fish Games,Big Fish Games,0,0,NA,2006
80,Hunting Unlimited 4,2006-10-24,9.99,"0 .. 20,000",SCS Software,"Retroism, ValuSoft",0,0,NA,2006
87,Zen of Sudoku,2006-12-14,NA,"0 .. 20,000",Unknown Worlds Entertainment,Unknown Worlds Entertainment,0,0,NA,2006
88,Battle Mages: Sign of Darkness,2006-04-13,4.99,"0 .. 20,000",Targem Games,Buka Entertainment,0,0,NA,2006
90,AGON - The Mysterious Codex (Trilogy),2006-03-16,9.99,"0 .. 20,000",Private Moon Studios,Microids Indie,0,0,NA,2006
94,Atlantis Sky Patrol,2006-08-23,9.99,"0 .. 20,000",Big Fish Games,Big Fish Games,0,0,NA,2006
